OBJECTID,unique_id,latitude,longitude,country,iso,state_standard,lga_standard,ward_standard,ward_bdry,ward_in_grid3_ward_list,facility_name,alt_name,settlement_name,facility_level,facility_type,facility_ownership,facility_ownership_type,functional,date_created,sett_ext_type,mgrs_code,input_data_record_ids,input_data_sources,nhfr_facility_code,gps_accuracy,sett_ext_dist_m,dist_ward_grid3_bdry_km,flag1,flag2,flag3,flag4,flag5,flag6,issues,flag_count,x,y
1,SN_BEFC69FA4D,4.8302472,6.2725692,Nigeria,NGA,Bayelsa,Ogbia,Otuokpoti-Ward 2,Otuokpoti-Ward 2,1,Otuokpoti Primary Health Centre,No,,Primary,Primary Health Center,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Built-up Area,32NKL0446_1,"grid3bayelsa_7436CCEEDD, grid3bayelsa_CD4158484E, nhfr2026_E14BB0DD16, nhfr2024_A00A62457E, grid3v2_76ACDA0740, nphcda_BEFC69FA4D","nhfr2024, nhfr2026, nphcda, grid3bayelsa, grid3v2",,9.175,0,,1,,,,,,"duplicated, outside of ward boundary, ",1,6.27256920000002,4.83024720000003
2,SN_EEFA2F439E,7.292408333,3.86387,Nigeria,NGA,Oyo,Oluyole,Bare,Bare,1,Odo Ona Kekere Primary Health Clinic,, Odo Ona Kekere ,Primary,Primary Health Center,Public,Local Government,Functional,,Built-up Area,31NFJ0018_1,"grid3oyo_EEFA2F439E, nhfr2024_2B497F7B97, grid3v2_D00D8CE23C, nhfr2026_34491823C9","nhfr2026, nhfr2024, grid3v2, grid3oyo",,,0,,,,1,1,,,"cluster with another point in 50m, cluster with another point in 100m ",2,3.86387000000002,7.29240833300003
3,SN_251273209A,6.8622367,3.8072767,Nigeria,NGA,Ogun,Odogbolu,Okun Owa,Okun Owa,1,Odolowu Health Centre,No,,Primary,Primary Health Center,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Built-up Area,31NEH8556_1,"grid3v2_05BB1EE187, nhfr2024_2DEAB2D427, nphcda_251273209A, grid3v2_7577C44457, nphcda_8150FE6999, nhfr2026_2D276350EE, nhfr2024_CFF4A6E22A","nphcda, nhfr2024, grid3v2, nhfr2026",,6.6,0,,,,,,,,,0,3.80727670000005,6.86223670000004
4,SN_360A1C428A,7.3482515,4.6985818,Nigeria,NGA,Osun,Atakunmosa East,Faforiji,Faforiji,1,Faforiji Primary Health Centre,No,,Primary,Primary Health Center,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Small Settlement Area,31NFJ8712_1,"grid3v2_35A9AC885B, nphcda_360A1C428A, nhfr2024_35FF2E56A0","nphcda, grid3v2, nhfr2024",,9.862,0,,1,,,,,,"duplicated, outside of ward boundary, ",1,4.69858180000006,7.34825150000006
5,SN_C4E069E436,7.1746617,3.2900067,Nigeria,NGA,Ogun,Abeokuta North,Idiya,Idiya,1,Adeun Health Clinic,,,Primary,Primary Health Center,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Built-up Area,31NEH3991_1,"nhfr2026_9947FA1EEF, nhfr2024_EB94A14DFC, nhfr2024_4049B69C56, nhfr2024_FA39F87DDB, nphcda_90A03F573A, grid3v2_460E6F1419, nphcda_C4E069E436","nhfr2024, grid3v2, nphcda, nhfr2026",,9.6,0,,,,,,,,,0,3.29000670000005,7.17466170000006
6,SN_FB83E8994F,10.3215447,11.9597688,Nigeria,NGA,Borno,Shani,Walama,Walama,1,Budam Health Post,No,,Primary,Health Post,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Small Settlement Area,32PRS2442_1,"nhfr2026_47B88E839A, grid3v2_A3C6D25716, nhfr2024_B6E7EFFCE9, nphcda_FB83E8994F","nphcda, nhfr2024, grid3v2, nhfr2026",,9.633,0,,,,,,,,,0,11.9597688000001,10.3215447000001
7,SN_471488FD59,7.0139921,3.7347895,Nigeria,NGA,Ogun,Remo North,Iyankan/Imagbon,Iyankan/Imagbon,1,Iyankan Primary Health Centre,No,,Primary,Primary Health Center,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Hamlet,31NEH8175_1,"grid3v2_B3817CB8DC, nphcda_471488FD59, nhfr2024_D10BD7E9B8, nhfr2026_CABC3810FC","nhfr2026, nphcda, grid3v2, nhfr2024",,9.916,0,,1,,,,,,"duplicated, outside of ward boundary, ",1,3.73478950000003,7.01399210000005
8,SN_409AA4AA38,9.9841473,11.0643142,Nigeria,NGA,Gombe,Akko,Tumu,Tumu,1,Kombani Kasuwa Health Post,No,,Primary,Clinic,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Small Settlement Area,32PQS2604_1,"grid3v2_BE731A260B, nphcda_409AA4AA38, nmep2022gombe_4A09B2CBEA, nmep2021gombe_A6A6739ED0, nhfr2026_F3A94F8B79, nhfr2024_33D4DF9194, nmep2021gombe_CBC22DF889","nhfr2024, nhfr2026, nmep2022gombe, nphcda, grid3v2, nmep2021gombe",,1.835,0,,,,1,1,,,"cluster with another point in 50m, cluster with another point in 100m ",2,11.0643142000001,9.98414730000007
9,SN_8B430586E7,6.315244,7.6914858,Nigeria,NGA,Enugu,Nkanu East,Ohuani/Onichagu,Amagunze,0,Okeani Amagunze Health Centre,No,,Primary,Primary Health Center,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Small Settlement Area,32NLM5598_1,"nhfr2024_CC4F0E8432, nhfr2024_D7528B0598, nphcda_8B430586E7, grid3v2_C39330F0E7, nphcda_195DA4C949","nhfr2024, grid3v2, nphcda",,8,0,,,,,,,,,0,7.69148580000007,6.31524400000006
10,SN_A2092B4305,11.0323575,7.9111155,Nigeria,NGA,Kaduna,Soba,Maigana,Maigana,1,Toga Health Clinic,Yes,,Primary,Clinic,Public,State Government,Unknown,2025-04-11 12:08:01.067449+00:00,Small Settlement Area,32PLT8119_1,"grid3v2_E5AE0840CF, nphcda_A2092B4305, nhfr2024_857CC53466","nphcda, grid3v2, nhfr2024",,4599.999,0,,,,,,,,,0,7.91111550000005,11.0323575
